"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 31 17:37:27 CST 2019","Tue Dec 31 17:37:27 CST 2019","1","","test","","","","test_foo[3-1]",""
"passed","Tue Dec 31 17:37:27 CST 2019","Tue Dec 31 17:37:27 CST 2019","142","","test_pytest","Testclass","","","test1",""
"passed","Tue Dec 31 17:37:28 CST 2019","Tue Dec 31 17:37:29 CST 2019","551","","test_pytest","Testclass","","","test6",""
"passed","Tue Dec 31 17:37:28 CST 2019","Tue Dec 31 17:37:28 CST 2019","171","","test_pytest","Testclass","","","test5",""
"broken","Tue Dec 31 17:37:27 CST 2019","Tue Dec 31 17:37:27 CST 2019","0","","test_pytest","","","","test_two",""
"passed","Tue Dec 31 17:37:28 CST 2019","Tue Dec 31 17:37:28 CST 2019","147","","test_pytest","Testclass","","","test3",""
"passed","Tue Dec 31 17:37:28 CST 2019","Tue Dec 31 17:37:28 CST 2019","145","","test_pytest","Testclass","","","test4",""
"passed","Tue Dec 31 17:37:27 CST 2019","Tue Dec 31 17:37:27 CST 2019","1","","test","","","","test_foo[4-1]",""
"broken","Tue Dec 31 17:37:27 CST 2019","Tue Dec 31 17:37:28 CST 2019","126","","test_pytest","Testclass","","","test2",""
"passed","Tue Dec 31 17:37:27 CST 2019","Tue Dec 31 17:37:27 CST 2019","0","","test","","","","test_foo[3-2]",""
"passed","Tue Dec 31 17:37:27 CST 2019","Tue Dec 31 17:37:27 CST 2019","1","","test_pytest","","","","test_one",""
"passed","Tue Dec 31 17:37:27 CST 2019","Tue Dec 31 17:37:27 CST 2019","0","","test","","","","test_foo[4-2]",""
"broken","Tue Dec 31 17:37:27 CST 2019","Tue Dec 31 17:37:27 CST 2019","0","","test_pytest","","","","test_three",""
